global_step,loss,learning_rate,epoch,timestamp
5,2.2201,3.333e-05,0.04,2026-02-28T16:49:42.544153
10,1.9298,6.667e-05,0.08,2026-02-28T17:00:30.329702
15,1.5265,0.0001,0.12,2026-02-28T17:11:28.518803
20,1.296,0.00013333,0.16,2026-02-28T17:22:05.318824
25,1.2542,0.00016667,0.2,2026-02-28T17:32:46.389722
30,1.2199,0.0002,0.24,2026-02-28T17:43:23.434647
35,1.1674,0.00019864,0.28,2026-02-28T17:53:33.357441
40,1.1533,0.00019458,0.32,2026-02-28T18:03:38.296742
45,1.1701,0.00018795,0.36,2026-02-28T18:13:41.022799
50,1.1478,0.00017891,0.4,2026-02-28T18:23:42.674961
55,1.1255,0.00016773,0.44,2026-02-28T18:33:38.202722
60,1.1356,0.00015469,0.48,2026-02-28T18:43:35.073244
65,1.1274,0.00014017,0.52,2026-02-28T18:53:06.705030
70,1.1335,0.00012455,0.56,2026-02-28T19:02:45.309675
75,1.0909,0.00010826,0.6,2026-02-28T19:12:15.923437
80,1.1149,9.174e-05,0.64,2026-02-28T19:21:47.850467
85,1.1032,7.545e-05,0.68,2026-02-28T19:31:10.075551
90,1.1119,5.983e-05,0.72,2026-02-28T19:40:28.125140
95,1.101,4.531e-05,0.76,2026-02-28T19:49:49.433141
100,1.131,3.227e-05,0.8,2026-02-28T19:59:09.430186
105,1.1064,2.109e-05,0.84,2026-02-28T20:08:29.805611
110,1.0853,1.205e-05,0.88,2026-02-28T20:17:45.323685
115,1.0868,5.42e-06,0.92,2026-02-28T20:26:49.556024
120,1.0704,1.36e-06,0.96,2026-02-28T20:36:06.724173
125,1.1024,0.0,1.0,2026-02-28T20:45:25.317977
